# scene_id, seg_name, start_timestep, end_timestep, scene_type
1,seg100239,0,-1,ego-static
23,seg104554,0,-1,ego-static
24,seg104859,0,-1,ego-static
37,seg107239,0,-1,ego-static
66,seg113189,0,-1,ego-static
108,seg123162,0,-1,ego-static
114,seg125050,0,-1,ego-static
115,seg125116,0,-1,ego-static
2,seg100508,0,-1,high-speed
41,seg107707,0,-1,high-speed
46,seg109239,0,-1,high-speed
62,seg111994,0,-1,high-speed
71,seg113924,0,-1,high-speed
73,seg114626,0,-1,high-speed
82,seg117995,0,-1,high-speed
83,seg118396,0,-1,high-speed
7,seg100822,0,-1,nighttime
15,seg102261,0,-1,nighttime
30,seg105842,0,-1,nighttime
51,seg109752,0,-1,nighttime
130,seg129566,0,-1,nighttime
133,seg129886,0,-1,nighttime
159,seg135171,0,-1,nighttime
770,seg917574,0,-1,nighttime
44,seg108305,0,-1,rainy
56,seg110763,0,-1,rainy
244,seg153428,0,-1,rainy
449,seg267067,0,-1,rainy
688,seg737359,0,-1,rainy
690,seg744043,0,-1,rainy
736,seg845475,0,-1,rainy
738,seg849465,0,-1,rainy
47,seg109277,0,-1,gloomy
205,seg144275,0,-1,gloomy
220,seg147777,0,-1,gloomy
284,seg161022,0,-1,gloomy
333,seg172163,0,-1,gloomy
537,seg429544,0,-1,gloomy
699,seg764359,0,-1,gloomy
749,seg874510,0,-1,gloomy
58,seg111194,0,-1,exposure_mismatch
93,seg120126,0,-1,exposure_mismatch
143,seg131811,0,-1,exposure_mismatch
505,seg356334,0,-1,exposure_mismatch
545,seg439245,0,-1,exposure_mismatch
585,seg512979,0,-1,exposure_mismatch
765,seg912386,0,-1,exposure_mismatch
766,seg912496,0,-1,exposure_mismatch
124,seg128560,0,-1,dusk/dawn
147,seg132079,0,-1,dusk/dawn
206,seg144309,0,-1,dusk/dawn
213,seg147348,0,-1,dusk/dawn
574,seg496738,0,-1,dusk/dawn
680,seg718760,0,-1,dusk/dawn
696,seg755420,0,-1,dusk/dawn
737,seg848780,0,-1,dusk/dawn
16,seg102319,0,-1,dynamic
21,seg103913,0,-1,dynamic
22,seg104444,0,-1,dynamic
25,seg104980,0,-1,dynamic
31,seg105887,0,-1,dynamic
34,seg106250,0,-1,dynamic
35,seg106648,0,-1,dynamic
49,seg109636,0,-1,dynamic
53,seg110170,0,-1,dynamic
80,seg117188,0,-1,dynamic
84,seg118463,0,-1,dynamic
86,seg119178,0,-1,dynamic
89,seg119284,0,-1,dynamic
94,seg120278,0,-1,dynamic
96,seg121618,0,-1,dynamic
102,seg122514,0,-1,dynamic
111,seg123392,0,-1,dynamic
222,seg148106,0,-1,dynamic
323,seg168016,0,-1,dynamic
382,seg181118,0,-1,dynamic
402,seg191876,0,-1,dynamic
427,seg225932,0,-1,dynamic
438,seg254789,0,-1,dynamic
546,seg441423,0,-1,dynamic
581,seg508351,0,-1,dynamic
592,seg522233,0,-1,dynamic
620,seg583504,0,-1,dynamic
640,seg624282,0,-1,dynamic
700,seg767010,0,-1,dynamic
754,seg882250,0,-1,dynamic
795,seg990779,0,-1,dynamic
796,seg990914,0,-1,dynamic
