# scene_id, seg_name, start_timestep, end_timestep, scene_type
16,seg102319,0,-1,dynamic
21,seg103913,0,-1,dynamic
22,seg104444,0,-1,dynamic
25,seg104980,0,-1,dynamic
31,seg105887,0,-1,dynamic
34,seg106250,0,-1,dynamic
35,seg106648,0,-1,dynamic
49,seg109636,0,-1,dynamic
53,seg110170,0,-1,dynamic
80,seg117188,0,-1,dynamic
84,seg118463,0,-1,dynamic
86,seg119178,0,-1,dynamic
89,seg119284,0,-1,dynamic
94,seg120278,0,-1,dynamic
96,seg121618,0,-1,dynamic
102,seg122514,0,-1,dynamic
111,seg123392,0,-1,dynamic
222,seg148106,0,-1,dynamic
323,seg168016,0,-1,dynamic
382,seg181118,0,-1,dynamic
402,seg191876,0,-1,dynamic
427,seg225932,0,-1,dynamic
438,seg254789,0,-1,dynamic
546,seg441423,0,-1,dynamic
581,seg508351,0,-1,dynamic
592,seg522233,0,-1,dynamic
620,seg583504,0,-1,dynamic
640,seg624282,0,-1,dynamic
700,seg767010,0,-1,dynamic
754,seg882250,0,-1,dynamic
795,seg990779,0,-1,dynamic
796,seg990914,0,-1,dynamic
3,seg100613,0,163,static
19,seg102751,0,-1,static
36,seg106762,0,-1,static
69,seg113792,0,-1,static
81,seg117240,0,-1,static
126,seg128796,0,-1,static
139,seg130854,0,-1,static
140,seg131421,17,-1,static
146,seg131967,0,-1,static
148,seg132384,0,-1,static
157,seg134763,0,140,static
181,seg140045,24,-1,static
200,seg143481,0,-1,static
204,seg144248,0,-1,static
226,seg148697,0,-1,static
232,seg150623,0,-1,static
237,seg152217,0,-1,static
241,seg152706,30,-1,static
245,seg153495,80,-1,static
246,seg153658,0,170,static
271,seg158686,70,-1,static
297,seg163453,0,-1,static
302,seg164701,0,-1,static
312,seg166085,0,120,static
314,seg166463,0,-1,static
362,seg177619,0,-1,static
482,seg322492,0,-1,static
495,seg342571,0,-1,static
524,seg398895,0,-1,static
527,seg405841,90,-1,static
753,seg881121,0,-1,static
780,seg938501,0,-1,static
